uuid,ts,event_seq,full_s3_path,payload_timestamp,mark_summary,cls,coordinate_array,raw_payload,isroll
5bba4d4d-f8a9-4d12-8502-a948aa99bc5d,2025-09-18 20:55:22,2,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758228922435_full.jpg,1758228922609,"[{""cls"": ""waste"", ""coordinate"": [0, 0, 0, 0], ""detScore"": 0, ""reidScore"": 0}]",waste,"[0, 0, 0, 0]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	0,
			""reidScore"":	0,
			""coordinate"":	[0, 0, 0, 0]
		}],
	""fullId"":	""1758228922435_full.jpg"",
	""eventSeq"":	2,
	""pictureSeq"":	1,
	""ts"":	1758228922609,
	""msgId"":	""LB010131000A701709023P1758228922609""
}",False
5bba4d4d-f8a9-4d12-8502-a948aa99bc5d,2025-09-18 20:55:35,2,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758228935593_full.jpg,1758228935782,"[{""cls"": ""waste"", ""coordinate"": [0, 0, 0, 0], ""detScore"": 0, ""reidScore"": 0}]",waste,"[0, 0, 0, 0]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	0,
			""reidScore"":	0,
			""coordinate"":	[0, 0, 0, 0]
		}],
	""fullId"":	""1758228935593_full.jpg"",
	""eventSeq"":	2,
	""pictureSeq"":	2,
	""ts"":	1758228935782,
	""msgId"":	""LB010131000A701709023P1758228935782""
}",False
5bba4d4d-f8a9-4d12-8502-a948aa99bc5d,2025-09-18 20:55:40,2,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758228939846_full.jpg,1758228940061,"[{""cls"": ""waste"", ""coordinate"": [0, 0, 0, 0], ""detScore"": 0, ""reidScore"": 0}]",waste,"[0, 0, 0, 0]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	0,
			""reidScore"":	0,
			""coordinate"":	[0, 0, 0, 0]
		}],
	""fullId"":	""1758228939846_full.jpg"",
	""eventSeq"":	2,
	""pictureSeq"":	3,
	""ts"":	1758228940061,
	""msgId"":	""LB010131000A701709023P1758228940061""
}",False
5bba4d4d-f8a9-4d12-8502-a948aa99bc5d,2025-09-18 20:55:44,2,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758228944076_full.jpg,1758228944375,"[{""cls"": ""waste"", ""coordinate"": [0, 0, 0, 0], ""detScore"": 0, ""reidScore"": 0}]",waste,"[0, 0, 0, 0]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	0,
			""reidScore"":	0,
			""coordinate"":	[0, 0, 0, 0]
		}],
	""fullId"":	""1758228944076_full.jpg"",
	""eventSeq"":	2,
	""pictureSeq"":	4,
	""ts"":	1758228944375,
	""msgId"":	""LB010131000A701709023P1758228944375""
}",False
5bba4d4d-f8a9-4d12-8502-a948aa99bc5d,2025-09-18 20:55:48,2,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758228948339_full.jpg,1758228948549,"[{""cls"": ""waste"", ""coordinate"": [0, 0, 0, 0], ""detScore"": 0, ""reidScore"": 0}]",waste,"[0, 0, 0, 0]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	0,
			""reidScore"":	0,
			""coordinate"":	[0, 0, 0, 0]
		}],
	""fullId"":	""1758228948339_full.jpg"",
	""eventSeq"":	2,
	""pictureSeq"":	5,
	""ts"":	1758228948549,
	""msgId"":	""LB010131000A701709023P1758228948549""
}",False
5bba4d4d-f8a9-4d12-8502-a948aa99bc5d,2025-09-18 20:55:52,2,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758228952336_full.jpg,1758228952503,"[{""cls"": ""waste"", ""coordinate"": [0, 0, 0, 0], ""detScore"": 0, ""reidScore"": 0}]",waste,"[0, 0, 0, 0]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	0,
			""reidScore"":	0,
			""coordinate"":	[0, 0, 0, 0]
		}],
	""fullId"":	""1758228952336_full.jpg"",
	""eventSeq"":	2,
	""pictureSeq"":	6,
	""ts"":	1758228952503,
	""msgId"":	""LB010131000A701709023P1758228952503""
}",False
5bba4d4d-f8a9-4d12-8502-a948aa99bc5d,2025-09-18 20:55:56,2,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758228956556_full.jpg,1758228956728,"[{""cls"": ""waste"", ""coordinate"": [0, 0, 0, 0], ""detScore"": 0, ""reidScore"": 0}]",waste,"[0, 0, 0, 0]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	0,
			""reidScore"":	0,
			""coordinate"":	[0, 0, 0, 0]
		}],
	""fullId"":	""1758228956556_full.jpg"",
	""eventSeq"":	2,
	""pictureSeq"":	7,
	""ts"":	1758228956728,
	""msgId"":	""LB010131000A701709023P1758228956728""
}",False
5bba4d4d-f8a9-4d12-8502-a948aa99bc5d,2025-09-18 20:56:21,2,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758228981072_full.jpg,1758228981382,"[{""cls"": ""waste"", ""coordinate"": [984, 387, 1056, 459], ""detScore"": 92, ""reidScore"": 53}, {""cls"": ""waste"", ""coordinate"": [939, 342, 1056, 465], ""detScore"": 72, ""reidScore"": 53}, {""cls"": ""waste"", ""coordinate"": [939, 342, 1014, 399], ""detScore"": 64, ""reidScore"": 51}]",waste,"[984, 387, 1056, 459]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	92,
			""reidScore"":	53,
			""coordinate"":	[984, 387, 1056, 459]
		}, {
			""cls"":	""waste"",
			""detScore"":	72,
			""reidScore"":	53,
			""coordinate"":	[939, 342, 1056, 465]
		}, {
			""cls"":	""waste"",
			""detScore"":	64,
			""reidScore"":	51,
			""coordinate"":	[939, 342, 1014, 399]
		}],
	""fullId"":	""1758228981072_full.jpg"",
	""eventSeq"":	2,
	""pictureSeq"":	8,
	""ts"":	1758228981382,
	""msgId"":	""LB010131000A701709023P1758228981382""
}",True
9a721d4b-3fda-411d-9eac-1e1ac24e5593,2025-09-18 21:46:25,3,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758231985668_full.jpg,1758231985882,"[{""cls"": ""waste"", ""coordinate"": [0, 0, 0, 0], ""detScore"": 0, ""reidScore"": 0}]",waste,"[0, 0, 0, 0]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	0,
			""reidScore"":	0,
			""coordinate"":	[0, 0, 0, 0]
		}],
	""fullId"":	""1758231985668_full.jpg"",
	""eventSeq"":	3,
	""pictureSeq"":	1,
	""ts"":	1758231985882,
	""msgId"":	""LB010131000A701709023P1758231985882""
}",False
9a721d4b-3fda-411d-9eac-1e1ac24e5593,2025-09-18 21:46:38,3,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758231998766_full.jpg,1758231998976,"[{""cls"": ""waste"", ""coordinate"": [0, 0, 0, 0], ""detScore"": 0, ""reidScore"": 0}]",waste,"[0, 0, 0, 0]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	0,
			""reidScore"":	0,
			""coordinate"":	[0, 0, 0, 0]
		}],
	""fullId"":	""1758231998766_full.jpg"",
	""eventSeq"":	3,
	""pictureSeq"":	2,
	""ts"":	1758231998976,
	""msgId"":	""LB010131000A701709023P1758231998976""
}",False
