uuid,ts,event_seq,full_s3_path,payload_timestamp,mark_summary,cls,coordinate_array,raw_payload,isroll
ee75b4d0-c05f-4e34-8d8e-89d62d582bd0,2025-09-17 21:55:50,1,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758146150048_full.jpg,1758146150366,"[{""cls"": ""waste"", ""coordinate"": [645, 216, 846, 402], ""detScore"": 92, ""reidScore"": 49}, {""cls"": ""waste"", ""coordinate"": [648, 303, 747, 402], ""detScore"": 27, ""reidScore"": 50}]",waste,"[645, 216, 846, 402]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	92,
			""reidScore"":	49,
			""coordinate"":	[645, 216, 846, 402]
		}, {
			""cls"":	""waste"",
			""detScore"":	27,
			""reidScore"":	50,
			""coordinate"":	[648, 303, 747, 402]
		}],
	""fullId"":	""1758146150048_full.jpg"",
	""eventSeq"":	1,
	""pictureSeq"":	1,
	""ts"":	1758146150366,
	""msgId"":	""LB010131000A701709023P1758146150366""
}",False
ee75b4d0-c05f-4e34-8d8e-89d62d582bd0,2025-09-17 21:55:56,1,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758146155881_full.jpg,1758146156151,"[{""cls"": ""waste"", ""coordinate"": [612, 102, 819, 270], ""detScore"": 92, ""reidScore"": 51}]",waste,"[612, 102, 819, 270]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	92,
			""reidScore"":	51,
			""coordinate"":	[612, 102, 819, 270]
		}],
	""fullId"":	""1758146155881_full.jpg"",
	""eventSeq"":	1,
	""pictureSeq"":	2,
	""ts"":	1758146156151,
	""msgId"":	""LB010131000A701709023P1758146156151""
}",False
ee75b4d0-c05f-4e34-8d8e-89d62d582bd0,2025-09-17 21:55:58,1,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758146158344_full.jpg,1758146158649,"[{""cls"": ""waste"", ""coordinate"": [600, 60, 813, 234], ""detScore"": 93, ""reidScore"": 52}]",waste,"[600, 60, 813, 234]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	93,
			""reidScore"":	52,
			""coordinate"":	[600, 60, 813, 234]
		}],
	""fullId"":	""1758146158344_full.jpg"",
	""eventSeq"":	1,
	""pictureSeq"":	2,
	""ts"":	1758146158649,
	""msgId"":	""LB010131000A701709023P1758146158649""
}",False
ee75b4d0-c05f-4e34-8d8e-89d62d582bd0,2025-09-17 21:56:00,1,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758146160255_full.jpg,1758146160496,"[{""cls"": ""waste"", ""coordinate"": [600, 63, 810, 231], ""detScore"": 93, ""reidScore"": 51}]",waste,"[600, 63, 810, 231]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	93,
			""reidScore"":	51,
			""coordinate"":	[600, 63, 810, 231]
		}],
	""fullId"":	""1758146160255_full.jpg"",
	""eventSeq"":	1,
	""pictureSeq"":	3,
	""ts"":	1758146160496,
	""msgId"":	""LB010131000A701709023P1758146160496""
}",False
ee75b4d0-c05f-4e34-8d8e-89d62d582bd0,2025-09-17 21:56:04,1,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758146164313_full.jpg,1758146164681,"[{""cls"": ""waste"", ""coordinate"": [582, 30, 801, 195], ""detScore"": 93, ""reidScore"": 50}]",waste,"[582, 30, 801, 195]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	93,
			""reidScore"":	50,
			""coordinate"":	[582, 30, 801, 195]
		}],
	""fullId"":	""1758146164313_full.jpg"",
	""eventSeq"":	1,
	""pictureSeq"":	4,
	""ts"":	1758146164681,
	""msgId"":	""LB010131000A701709023P1758146164681""
}",False
ee75b4d0-c05f-4e34-8d8e-89d62d582bd0,2025-09-17 21:56:06,1,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758146166457_full.jpg,1758146166660,"[{""cls"": ""waste"", ""coordinate"": [561, 3, 795, 171], ""detScore"": 93, ""reidScore"": 50}]",waste,"[561, 3, 795, 171]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	93,
			""reidScore"":	50,
			""coordinate"":	[561, 3, 795, 171]
		}],
	""fullId"":	""1758146166457_full.jpg"",
	""eventSeq"":	1,
	""pictureSeq"":	4,
	""ts"":	1758146166660,
	""msgId"":	""LB010131000A701709023P1758146166660""
}",False
ee75b4d0-c05f-4e34-8d8e-89d62d582bd0,2025-09-17 21:56:08,1,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758146168694_full.jpg,1758146168896,"[{""cls"": ""waste"", ""coordinate"": [561, 3, 795, 171], ""detScore"": 93, ""reidScore"": 51}, {""cls"": ""waste"", ""coordinate"": [573, 168, 627, 237], ""detScore"": 28, ""reidScore"": 49}]",waste,"[561, 3, 795, 171]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	93,
			""reidScore"":	51,
			""coordinate"":	[561, 3, 795, 171]
		}, {
			""cls"":	""waste"",
			""detScore"":	28,
			""reidScore"":	49,
			""coordinate"":	[573, 168, 627, 237]
		}],
	""fullId"":	""1758146168694_full.jpg"",
	""eventSeq"":	1,
	""pictureSeq"":	5,
	""ts"":	1758146168896,
	""msgId"":	""LB010131000A701709023P1758146168896""
}",False
ee75b4d0-c05f-4e34-8d8e-89d62d582bd0,2025-09-17 21:56:12,1,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758146172749_full.jpg,1758146172937,"[{""cls"": ""waste"", ""coordinate"": [540, 0, 783, 141], ""detScore"": 93, ""reidScore"": 51}]",waste,"[540, 0, 783, 141]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	93,
			""reidScore"":	51,
			""coordinate"":	[540, 0, 783, 141]
		}],
	""fullId"":	""1758146172749_full.jpg"",
	""eventSeq"":	1,
	""pictureSeq"":	6,
	""ts"":	1758146172937,
	""msgId"":	""LB010131000A701709023P1758146172937""
}",False
ee75b4d0-c05f-4e34-8d8e-89d62d582bd0,2025-09-17 21:56:14,1,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758146174658_full.jpg,1758146174845,"[{""cls"": ""waste"", ""coordinate"": [510, 0, 768, 117], ""detScore"": 93, ""reidScore"": 50}]",waste,"[510, 0, 768, 117]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	93,
			""reidScore"":	50,
			""coordinate"":	[510, 0, 768, 117]
		}],
	""fullId"":	""1758146174658_full.jpg"",
	""eventSeq"":	1,
	""pictureSeq"":	6,
	""ts"":	1758146174845,
	""msgId"":	""LB010131000A701709023P1758146174845""
}",False
ee75b4d0-c05f-4e34-8d8e-89d62d582bd0,2025-09-17 21:56:17,1,s3://hls-video-cloud-storage-test-hk/member/199012549/device/LB010131000A701709023P/1758146177149_full.jpg,1758146177372,"[{""cls"": ""waste"", ""coordinate"": [513, 0, 771, 114], ""detScore"": 93, ""reidScore"": 50}]",waste,"[513, 0, 771, 114]","{
	""cmd"":	""FECES_RECOGNITION_EVENTS"",
	""markSummary"":	[{
			""cls"":	""waste"",
			""detScore"":	93,
			""reidScore"":	50,
			""coordinate"":	[513, 0, 771, 114]
		}],
	""fullId"":	""1758146177149_full.jpg"",
	""eventSeq"":	1,
	""pictureSeq"":	7,
	""ts"":	1758146177372,
	""msgId"":	""LB010131000A701709023P1758146177372""
}",False
